,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,date,title,source,desc,url,img
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-05-27 00:00:00,"Why Amazon, PayPal, and Apple Are No-Brainer Buys Right Now",The Motley Fool,"The stock market is on a growth path, with the Nasdaq Composite index up 24% since Jan. 1. The market is benefiting from gradually easing inflation after...",https://www.fool.com/investing/2023/05/27/why-amazon-paypal-and-apple-are-no-brainer-buys-ri/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2023-05-27 00:00:00,Amazon.com Inc. (AMZN Stock) - Will Riding AI Bandwagon Help?,The Coin Republic,"Amazon Inc. (AMZN Stock) soared 4.44% on May 26, trying to grab the AI rally, Can the company continue its stride?",https://www.thecoinrepublic.com/2023/05/27/amazon-com-inc-amzn-stock-will-riding-ai-bandwagon-help/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2023-05-27 00:00:00,How Amazon founder Jeff Bezos went from scrawny to brawny,Business Insider,"Amazon founder Jeff Bezos has had a ""glo-up"" in recent years since stepping back from the company. He went from eating a tin of biscuits for breakfast every...",https://www.businessinsider.com/jeff-bezos-is-ripped-how-amazon-founder-transformed-his-physique-2023-5,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2023-05-27 00:00:00,Analysts are pounding the table for stocks like Amazon,CNBC,"Wall Street analysts say these stocks have more room to run through the rest of 2023. Published Sat, May 27 20238:00 AM EDT.",https://www.cnbc.com/2023/05/27/analysts-are-pounding-the-table-for-stocks-like-amazon.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2023-05-27 00:00:00,"After Laying Off Thousands of Employees, Amazon Takes Another BIG Decision- READ HERE",Times Now,"Amazon Layoff News: After laying off employees in mass numbers, Amazon has reportedly put on hold the issuance of employment offer letters to campus...",https://www.timesnownews.com/business-economy/companies/after-laying-off-thousands-of-employees-amazon-takes-another-big-decision-read-here-article-100503837,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2023-05-28 00:00:00,Amazon may be gearing up for its launch in SA,News24,Amazon is reportedly securing two fulfillment centres in South Africa ahead of the expected launch of a retail platform.,https://www.news24.com/fin24/companies/amazon-may-be-gearing-up-for-its-launch-in-sa-20230527,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2023-05-28 00:00:00,"Amazon, Inc. (NASDAQ: AMZN) Bucks Volatility with Impressive 4% Stock Increase - abbonews.com",ABBO News,"On May 26th, Shares of Amazon (AMZN) experienced a remarkable 4.44% increase, defying the market's volatility. This surge occurred even as Washington Trust...",https://abbonews.com/news/amazon-inc-nasdaq-amzn-bucks-volatility-with-impressive-4-stock-increase/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2023-05-27 00:00:00,Refurbished Digital Equipment Industry to Witness Increase in Revenues by 2030 | Top companies:ASUSTek ...,Scene for Dummies: Everything Hollywood Undead,"The research report presents a strategic analysis of the global Refurbished Digital Equipment market analysis through top players, size, share, key drivers,...",https://scenefordummies.com/uncategorised/refurbished-digital-equipment-industry-to-witness-increase-in-revenues-by-2030-top-companiesasustek-computer-inc-amazon-inc/185246/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2023-05-27 00:00:00,Washington Trust Advisors Inc. Cuts Holdings in Amazon.com Amid Volatile Market Conditions,Best Stocks,"As of the fourth quarter, Washington Trust Advisors Inc. has reduced its holdings in Amazon.com, Inc. (NASDAQ: AMZN) by 5.5%, according to a recent filing.",https://beststocks.com/washington-trust-advisors-inc-cuts-holdings-in-am/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,2023-05-28 00:00:00,"11 Best Appliance Deals on Amazon for Memorial Day, From Dyson Vacuums and Air Purifiers to Kitchen Essentials",Wallowa County Chieftain,Click here to view this image from wallowa.com.,https://www.wallowa.com/business/finance/11-best-appliance-deals-on-amazon-for-memorial-day-from-dyson-vacuums-and-air-purifiers/image_f963d75e-fa48-51bd-8f67-b62a0f06c388.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
